subject,condition,rate,task
8,Asynchronous,0.376662856,loudness
8,Synchronous,0.384216698,loudness
9,Asynchronous,0.241917438,loudness
9,Synchronous,0.270560552,loudness
10,Asynchronous,0.356309014,loudness
10,Synchronous,0.343275688,loudness
11,Asynchronous,0.234003276,loudness
11,Synchronous,0.429219453,loudness
12,Asynchronous,0.252657041,loudness
12,Synchronous,0.243518807,loudness
13,Asynchronous,0.395012149,loudness
13,Synchronous,0.380959719,loudness
14,Asynchronous,0.386291137,loudness
14,Synchronous,0.536148459,loudness
15,Asynchronous,0.418293646,loudness
15,Synchronous,0.33798217,loudness
16,Asynchronous,0.339373371,loudness
16,Synchronous,0.519859232,loudness
17,Asynchronous,0.324841887,loudness
17,Synchronous,0.31596599,loudness
18,Asynchronous,0.28260661,loudness
18,Synchronous,0.344069579,loudness
19,Asynchronous,0.585176247,loudness
19,Synchronous,0.404252906,loudness
20,Asynchronous,0.364147223,loudness
20,Synchronous,0.37915815,loudness
21,Asynchronous,0.331542243,loudness
21,Synchronous,0.335525158,loudness
22,Asynchronous,0.309241268,loudness
22,Synchronous,0.289616437,loudness
23,Asynchronous,0.253515084,loudness
23,Synchronous,0.311696408,loudness
24,Asynchronous,0.270390496,loudness
24,Synchronous,0.281694286,loudness
26,Asynchronous,0.411637825,loudness
26,Synchronous,0.386385118,loudness
27,Asynchronous,0.412092921,loudness
27,Synchronous,0.423922197,loudness
1,Asynchronous,0.239981778,loudness
1,Synchronous,0.156745804,loudness
28,Asynchronous,0.396910207,loudness
29,Asynchronous,0.401533516,loudness
29,Synchronous,0.347427883,loudness
30,Asynchronous,0.324105334,loudness
30,Synchronous,0.301617832,loudness
2,Asynchronous,0.339472452,loudness
2,Synchronous,0.327260827,loudness
3,Asynchronous,0.397904651,loudness
3,Synchronous,0.387133553,loudness
4,Asynchronous,0.43123165,loudness
4,Synchronous,0.402659114,loudness
5,Asynchronous,0.401600989,loudness
5,Synchronous,0.425502049,loudness
6,Asynchronous,0.328104634,loudness
6,Synchronous,0.324272893,loudness
7,Asynchronous,0.277817533,loudness
7,Synchronous,0.296285932,loudness
8,Asynchronous,0.348006935,voice
8,Synchronous,0.386740655,voice
9,Asynchronous,0.248387364,voice
9,Synchronous,0.225440565,voice
10,Asynchronous,0.384212365,voice
10,Synchronous,0.391974144,voice
11,Asynchronous,0.426495946,voice
11,Synchronous,0.125268907,voice
12,Asynchronous,0.25798104,voice
12,Synchronous,0.26218548,voice
13,Asynchronous,0.399650306,voice
13,Synchronous,0.388689146,voice
14,Asynchronous,0.521778171,voice
14,Synchronous,0.434933189,voice
15,Asynchronous,0.36449219,voice
15,Synchronous,0.288608402,voice
16,Asynchronous,0.414867626,voice
16,Synchronous,0.376785122,voice
17,Asynchronous,0.302070823,voice
17,Synchronous,0.314114691,voice
18,Asynchronous,0.306044985,voice
18,Synchronous,0.330914324,voice
19,Asynchronous,0.424624949,voice
19,Synchronous,0.351197283,voice
20,Asynchronous,0.377096597,voice
20,Synchronous,0.367948883,voice
21,Asynchronous,0.369692174,voice
21,Synchronous,0.373961273,voice
22,Asynchronous,0.265464145,voice
22,Synchronous,0.349773676,voice
23,Asynchronous,0.253264889,voice
23,Synchronous,0.333547669,voice
24,Asynchronous,0.28423283,voice
24,Synchronous,0.269373874,voice
26,Asynchronous,0.391361861,voice
26,Synchronous,0.396489128,voice
27,Asynchronous,0.404693731,voice
27,Synchronous,0.414931323,voice
1,Asynchronous,0.172018259,voice
1,Synchronous,0.305291186,voice
28,Synchronous,0.319442199,voice
29,Asynchronous,0.423889246,voice
29,Synchronous,0.372760709,voice
30,Asynchronous,0.325146316,voice
30,Synchronous,0.391436771,voice
2,Synchronous,0.335618591,voice
3,Asynchronous,0.37372618,voice
3,Synchronous,0.300359806,voice
4,Asynchronous,0.424590824,voice
4,Synchronous,0.408714467,voice
5,Asynchronous,0.408524848,voice
5,Synchronous,0.419864147,voice
6,Asynchronous,0.35082517,voice
6,Synchronous,0.348915489,voice
7,Asynchronous,0.326860446,voice
7,Synchronous,0.303281506,voice
